"声優","出演数","メイン","メイン率"
"原田ひとみ","19","6","0.3157894736842105"
"水野麻里絵","27","6","0.2222222222222222"
"麦穂あんな","10","6","0.6"
"諸星すみれ","21","6","0.2857142857142857"
"山岡ゆり","17","6","0.35294117647058826"
"山村響","33","6","0.18181818181818182"
"米澤円","26","6","0.23076923076923078"
"相沢舞","10","5","0.5"
"荒川美穂","16","5","0.3125"
"伊藤美来","11","5","0.45454545454545453"
"今井麻美","14","5","0.35714285714285715"
"大空直美","31","5","0.16129032258064516"
"楠田亜衣奈","18","5","0.2777777777777778"
"工藤晴香","20","5","0.25"
"桑谷夏子","28","5","0.17857142857142858"
"ささきのぞみ","23","5","0.21739130434782608"
"清水愛","25","5","0.2"
"鈴木絵理","26","5","0.19230769230769232"
"たかはし智秋","23","5","0.21739130434782608"
"高山みなみ","13","5","0.38461538461538464"
"竹内順子","19","5","0.2631578947368421"
"田中涼子 (声優)","6","5","0.8333333333333334"
"丹下桜","17","5","0.29411764705882354"
"中島愛 (声優)","14","5","0.35714285714285715"
"藤井ゆきよ","56","5","0.08928571428571429"
"本多真梨子","19","5","0.2631578947368421"
"前田玲奈","35","5","0.14285714285714285"
"皆川純子","27","5","0.18518518518518517"
"三宅麻理恵","49","5","0.10204081632653061"
"宮本佳那子","20","5","0.25"
"矢島晶子","21","5","0.23809523809523808"
"山口立花子","35","5","0.14285714285714285"
"山崎はるか","39","5","0.1282051282051282"
"LYNN","37","5","0.13513513513513514"
"渡辺明乃","58","5","0.08620689655172414"
"浅野真澄","40","4","0.1"
"飯田里穂","4","4","1.0"
"緒方恵美","15","4","0.26666666666666666"
"岡村明美","31","4","0.12903225806451613"
"奥野香耶","10","4","0.4"
"折笠富美子","32","4","0.125"
"後藤麻衣 (声優)","13","4","0.3076923076923077"
"佐土原かおり","17","4","0.23529411764705882"
"白石晴香","10","4","0.4"
"鈴木愛奈","6","4","0.6666666666666666"
"粗忽屋後楽園店","15","4","0.26666666666666666"
"粗忽屋所沢店","15","4","0.26666666666666666"
"粗忽屋武蔵野店","31","4","0.12903225806451613"
"大地葉","46","4","0.08695652173913043"
"高橋未奈美","69","4","0.057971014492753624"
"田口宏子","5","4","0.8"
"田中敦子 (声優)","39","4","0.10256410256410256"
"田中美海","10","4","0.4"
"田中理恵 (声優)","19","4","0.21052631578947367"
"田辺留依","18","4","0.2222222222222222"
"田村奈央","10","4","0.4"
"照井春佳","26","4","0.15384615384615385"
"長縄まりあ","11","4","0.36363636363636365"
"中村繪里子","9","4","0.4444444444444444"
"仲谷明香","12","4","0.3333333333333333"
"夏川椎菜","24","4","0.16666666666666666"
"秦佐和子","10","4","0.4"
"花守ゆみり","12","4","0.3333333333333333"
"葉山いくみ","61","4","0.06557377049180328"
"原紗友里","42","4","0.09523809523809523"
"藤原郁美","61","4","0.06557377049180328"
"古木のぞみ","27","4","0.14814814814814814"
"松嵜麗","15","4","0.26666666666666666"
"松本梨香","8","4","0.5"
"水沢史絵","14","4","0.2857142857142857"
"村中知","72","4","0.05555555555555555"
"山口由里子","15","4","0.26666666666666666"
"山下七海","12","4","0.3333333333333333"
"山田奈都美","8","4","0.5"
"吉田有里 (声優)","8","4","0.5"
"佳村はるか","12","4","0.3333333333333333"
"渡辺久美子","11","4","0.36363636363636365"
"茜屋日海夏","9","3","0.3333333333333333"
