"声優","出演数","メイン","メイン率"
"粗忽屋所沢店","33","2","0.06060606060606061"
"高木礼子","13","2","0.15384615384615385"
"高萩晴子","2","2","1.0"
"田中理恵 (声優)","12","2","0.16666666666666666"
"天神有海","21","2","0.09523809523809523"
"土井美加","39","2","0.05128205128205128"
"中川亜紀子","16","2","0.125"
"名塚佳織","4","2","0.5"
"七緒はるひ","17","2","0.11764705882352941"
"朴ロ美","6","2","0.3333333333333333"
"半場友恵","24","2","0.08333333333333333"
"引田有美","19","2","0.10526315789473684"
"松井摩味","28","2","0.07142857142857142"
"松岡由貴","3","2","0.6666666666666666"
"松谷彼哉","13","2","0.15384615384615385"
"松本さち","18","2","0.1111111111111111"
"摩味","28","2","0.07142857142857142"
"柳沢三千代","13","2","0.15384615384615385"
"山口由里子","33","2","0.06060606060606061"
"山崎みちる","7","2","0.2857142857142857"
"渡辺菜生子","24","2","0.08333333333333333"
"あおきさやか","3","1","0.3333333333333333"
"麻生かほ里","8","1","0.125"
"石川寛美","22","1","0.045454545454545456"
"伊東みやこ","1","1","1.0"
"岩居由希子","14","1","0.07142857142857142"
"岡田純子 (声優)","3","1","0.3333333333333333"
"岡本麻見","2","1","0.5"
"岡本茉利","2","1","0.5"
"音宮つばさ","3","1","0.3333333333333333"
"小原乃梨子","5","1","0.2"
"KAORI.","2","1","0.5"
"金田朋子","6","1","0.16666666666666666"
"川島千代子","24","1","0.041666666666666664"
"川菜明子","2","1","0.5"
"川菜翠","2","1","0.5"
"河原木志穂","7","1","0.14285714285714285"
"木内レイコ","7","1","0.14285714285714285"
"菊地ゆうみ","1","1","1.0"
"釘宮理恵","8","1","0.125"
"小林由美子","25","1","0.04"
"今野宏美","4","1","0.25"
"齋藤彩夏","8","1","0.125"
"榊原良子","19","1","0.05263157894736842"
"佐久間紅美","9","1","0.1111111111111111"
"佐々木菜摘","18","1","0.05555555555555555"
"沢城みゆき","3","1","0.3333333333333333"
"三五美奈子","1","1","1.0"
"三瓶由布子","1","1","1.0"
"島涼香","4","1","0.25"
"嶋崎はるか","4","1","0.25"
"島津冴子","20","1","0.05"
"清水マリ","1","1","1.0"
"白石冬美","1","1","1.0"
"進藤尚美","5","1","0.2"
"杉本沙織","11","1","0.09090909090909091"
"鈴木カオリ","2","1","0.5"
"鈴木砂織","11","1","0.09090909090909091"
"園崎未恵","8","1","0.125"
"高野直子 (声優)","12","1","0.08333333333333333"
"高橋美佳子","8","1","0.125"
"高橋美紀","10","1","0.1"
"高橋理恵子","4","1","0.25"
"鷹森淑乃","13","1","0.07692307692307693"
"滝沢ロコ","10","1","0.1"
"田口宏子","2","1","0.5"
"多田葵","2","1","0.5"
"橘ひかり","11","1","0.09090909090909091"
"千葉紗子","3","1","0.3333333333333333"
"戸田恵子","5","1","0.2"
"永野愛","17","1","0.058823529411764705"
"永堀美穂","8","1","0.125"
"中山さら","21","1","0.047619047619047616"
"中山真奈美","21","1","0.047619047619047616"
"那須めぐみ","7","1","0.14285714285714285"
"ならはしみき","33","1","0.030303030303030304"
