"声優","出演数","メイン","メイン率"
"森下由樹子","29","0","0.0"
"くじら (声優)","28","0","0.0"
"桑谷夏子","28","5","0.17857142857142858"
"ブリドカットセーラ恵美","28","7","0.25"
"水樹奈々","28","12","0.42857142857142855"
"菊池こころ","27","2","0.07407407407407407"
"小林沙苗","27","3","0.1111111111111111"
"小林由美子","27","7","0.25925925925925924"
"田頭里奈","27","0","0.0"
"戸田めぐみ","27","2","0.07407407407407407"
"鳴海杏子","27","11","0.4074074074074074"
"野水伊織","27","18","0.6666666666666666"
"朴ロ美","27","7","0.25925925925925924"
"平野綾","27","16","0.5925925925925926"
"古木のぞみ","27","4","0.14814814814814814"
"水野麻里絵","27","6","0.2222222222222222"
"皆川純子","27","5","0.18518518518518517"
"愛美","26","10","0.38461538461538464"
"浅川悠","26","6","0.23076923076923078"
"内田彩","26","14","0.5384615384615384"
"大坪由佳","26","14","0.5384615384615384"
"小堀友里絵","26","1","0.038461538461538464"
"鈴木絵理","26","5","0.19230769230769232"
"照井春佳","26","4","0.15384615384615385"
"米澤円","26","6","0.23076923076923078"
"大谷育江","25","11","0.44"
"大橋彩香","25","15","0.6"
"下屋則子","25","3","0.12"
"清水愛","25","5","0.2"
"田中真奈美","25","2","0.08"
"千菅春香","25","6","0.24"
"松来未祐","25","9","0.36"
"朝井彩加","24","6","0.25"
"下地紫野","24","1","0.041666666666666664"
"玉木佑和","24","0","0.0"
"茅原実里","24","11","0.4583333333333333"
"夏川椎菜","24","4","0.16666666666666666"
"大浦冬華","23","1","0.043478260869565216"
"岡田栄美","23","0","0.0"
"くまいもとこ","23","6","0.2608695652173913"
"ささきのぞみ","23","5","0.21739130434782608"
"たかはし智秋","23","5","0.21739130434782608"
"七緒はるひ","23","1","0.043478260869565216"
"原嶋あかり","23","0","0.0"
"宮沢きよこ","23","0","0.0"
"芳野由奈","23","1","0.043478260869565216"
"鷄冠井美智子","22","0","0.0"
"今野宏美","22","1","0.045454545454545456"
"新谷良子","22","3","0.13636363636363635"
"藏合紗恵子","22","1","0.045454545454545456"
"伊達朱里紗","22","3","0.13636363636363635"
"中上育実","22","1","0.045454545454545456"
"野中藍","22","3","0.13636363636363635"
"東内マリ子","22","1","0.045454545454545456"
"三石琴乃","22","1","0.045454545454545456"
"大亀あすか","21","6","0.2857142857142857"
"沖佳苗","21","2","0.09523809523809523"
"金田朋子","21","3","0.14285714285714285"
"金香里","21","0","0.0"
"小島幸子","21","0","0.0"
"坂本真綾","21","9","0.42857142857142855"
"佐藤美由希","21","1","0.047619047619047616"
"長妻樹里","21","6","0.2857142857142857"
"早水リサ","21","0","0.0"
"本田貴子","21","0","0.0"
"牧野由依","21","7","0.3333333333333333"
"森千晃","21","0","0.0"
"諸星すみれ","21","6","0.2857142857142857"
"矢島晶子","21","5","0.23809523809523808"
"渡部優衣","21","12","0.5714285714285714"
"相川奈都姫","20","1","0.05"
"愛河里花子","20","2","0.1"
"浅倉杏美","20","7","0.35"
"一木千洋","20","0","0.0"
"神田みか","20","0","0.0"
"工藤晴香","20","5","0.25"
"斉藤佑圭","20","2","0.1"
"田澤茉純","20","3","0.15"
"根谷美智子","20","2","0.1"
"まつだ志緒理","20","0","0.0"
"宮武みか","20","0","0.0"
"宮本佳那子","20","5","0.25"
"森谷里美","20","0","0.0"
"山本杏美","20","7","0.35"
"折笠愛","19","2","0.10526315789473684"
"甲斐田ゆき","19","1","0.05263157894736842"
